#,Product Name,Brand,Price,Category,Rank,Est. Sales,Est. Revenue,# of Reviews,Rating,BB Seller,ASIN,Link
1,Audubon Bat Shelter Model NABAT,Woodlink,$32.39 ,"Patio, Lawn & Garden","1,201",843,"$27,305 ",237,4.5,AMZ,B000HHQBKO,https://www.amazon.com/dp/B000HHQBKO
2,Bat House - Premium Quality Bat Shelter and Nesting Box - Hand Crafted Bat Home for a Dozen Bats - Control Pests Naturally,Sparkleberry Industries,$24.99 ,"Patio, Lawn & Garden","8,858",141,"$3,524 ",23,4,FBA,B01N7PIV8Y,https://www.amazon.com/dp/B01N7PIV8Y
3,BAT HOUSE PEST CONTROL - Bats Shelter Protects Home From Mosquitoes and Bugs - Dual Chamber Wooden Bat Boxes Built to Last - Houses Up to 360 Bats - Repels Pests From Garden - SATISFACTION GUARANTEE,Planted Perfect,$25.00 ,"Patio, Lawn & Garden","7,579",170,"$4,250 ",6,3,FBA,B01MFALE3M,https://www.amazon.com/dp/B01MFALE3M
4,Heath Outdoor Products BAT-1D Deluxe Bat House,Heath Outdoor Products,$39.98 ,"Patio, Lawn & Garden","39,663",30,"$1,199 ",117,4,AMZ,B0032UXAJS,https://www.amazon.com/dp/B0032UXAJS
5,Kenley Bat Box House Shelter - Single Chamber Outdoor Bat Houses Kit - Cedar Wood,Kenley,$19.99 ,"Patio, Lawn & Garden","20,060",59,"$1,179 ",8,4,FBA,B01EYTVBLE,https://www.amazon.com/dp/B01EYTVBLE
6,Looker Songbird Essentials Organization for Bat Conservation (OBC) Single Chamber Bat House,Looker Products,N.A.,"Patio, Lawn & Garden","45,943",26,N.A.,112,4.5,FBA,B000FLTO5Q,https://www.amazon.com/dp/B000FLTO5Q
7,OBC Endorsed Triple Chamber Bat House Approved by The Organization for Bat Conservation,Uncle Dunkels,$79.99 ,"Patio, Lawn & Garden","55,965",22,"$1,760 ",32,4.5,Merch,B010J5QKL8,https://www.amazon.com/dp/B010J5QKL8
8,Bat House Kit,Coveside,$35.70 ,"Patio, Lawn & Garden","77,573",15,$536 ,3,4.5,FBA,B000E8STX8,https://www.amazon.com/dp/B000E8STX8
9,Bat House Attractant-Attract Bats to your Bat House,Donaldson Farms,$24.97 ,"Patio, Lawn & Garden","15,101",84,"$2,097 ",30,3.5,FBA,B01B6PO0SA,https://www.amazon.com/dp/B01B6PO0SA
10,Coveside Mini Wooden Bat Box House Shelter - Houses up to 12 bats,Coveside,$20.00 ,"Patio, Lawn & Garden","90,208",12,$240 ,51,4,FBA,B000KFW4FE,https://www.amazon.com/dp/B000KFW4FE
11,Ento Wood Bat House Kit - Houses up to 30 Bats,ENTO,$34.95 ,"Patio, Lawn & Garden","83,943",13,$454 ,19,4,FBA,B00CTQ9JNC,https://www.amazon.com/dp/B00CTQ9JNC
12,"Hello Bat Attractant for Bat Houses, Recyclable and Leak Resistant Bottle, 4.0 fl. oz., 7.25 in. tall, Environmentally Safe Without Bats Guano or Ammonia. Perfect For Your Bat Box or Bat House Kit",Hello Bat,$24.96 ,"Patio, Lawn & Garden","3,870",292,"$7,288 ",11,4,FBA,B01LYBNMS2,https://www.amazon.com/dp/B01LYBNMS2
13,"Houseables Bat House, Box Shelter, 1 Thick, Wooden, Fir Wood, Small, Nesting Chamber, Outdoor Mounting, on Trees, Homes, Poles, Houses Dozen Bats, Hand Crafted, Attractant, Control Pests Naturally",Houseables,$27.99 ,"Patio, Lawn & Garden","30,512",41,"$1,148 ",6,3.5,FBA,B01KMR8V9W,https://www.amazon.com/dp/B01KMR8V9W
14,OBC Endorsed Single Chamber Bat House Approved by The Org. for Bat Conservation,Uncle Dunkels,$76.99 ,"Patio, Lawn & Garden","88,068",12,$924 ,16,5,Merch,B010VRHU86,https://www.amazon.com/dp/B010VRHU86
15,Belfry HaBATat Premium Cedar Bat House - Single Chamber Bat Shelter - Made in USA,Belfry,$34.99 ,"Patio, Lawn & Garden","20,597",58,"$2,029 ",4,5,FBA,B01M8LGC1Y,https://www.amazon.com/dp/B01M8LGC1Y
16,North States 1641 8-Inch by 4-3/4-Inch by 15-Inch Bat House,North States,$25.00 ,"Patio, Lawn & Garden","77,514",15,$375 ,28,3,AMZ,B00004RA6L,https://www.amazon.com/dp/B00004RA6L
17,Bat Box Bat House Nesting Box for up to 30 Bats,Bee Proof Suits,$25.00 ,"Patio, Lawn & Garden","130,431",5,$125 ,N.A.,N.A.,FBA,B01LZZFT3S,https://www.amazon.com/dp/B01LZZFT3S
18,Coveside Sunshine's Bat House - Small Wood Finished Box - Fits 100 Bats,Coveside,$54.75 ,"Patio, Lawn & Garden","74,567",16,$876 ,15,4,FBA,B000KFS3NG,https://www.amazon.com/dp/B000KFS3NG
19,"BestNest Premium Stained Bat House, Dark Brown, 400 bats",BestNest,$87.99 ,"Patio, Lawn & Garden","144,463",< 5,< $440,11,4,Merch,B009SQ12JU,https://www.amazon.com/dp/B009SQ12JU
20,"Gardirect Natural Wildlife Bat House, Bat Box",Gardirect,$17.95 ,"Patio, Lawn & Garden","48,038",25,$449 ,N.A.,N.A.,FBA,B01MECUITF,https://www.amazon.com/dp/B01MECUITF
21,H4Bats Three Chamber Bat House Kit - BCI Certified - 28x18x4.5 - Easy to Assemble - Grooved Roosting Surfaces - Holds 200 to 300 bats,Habitat For Bats,$89.95 ,"Patio, Lawn & Garden","155,574",< 5,< $450,3,5,FBA,B0141MI5WM,https://www.amazon.com/dp/B0141MI5WM
